Score,Caucasian Male,Caucasian Female,African-American Male,African-American Female
0.0,0.0,0.0,0.04,0.0
1.0,0.0,0.0,0.08,0.0
2.0,0.25,0.28,0.08,0.38
3.0,0.34,0.28,0.08,0.96
4.0,0.51,0.56,0.13,1.15
5.0,0.76,1.13,0.3,1.34
6.0,1.19,1.98,0.3,1.72
7.0,1.19,1.98,0.3,1.72
8.0,1.78,2.82,0.46,2.68
9.0,1.87,3.95,0.59,2.68
10.0,2.88,4.52,0.84,3.26
11.0,3.56,4.8,1.01,3.64
12.0,4.07,6.21,1.31,4.41
13.0,4.33,6.78,1.52,5.56
14.0,4.33,6.78,1.52,5.56
15.0,5.6,9.04,2.24,7.28
16.0,6.53,10.73,2.62,8.05
17.0,7.21,13.56,2.91,9.2
18.0,8.31,14.69,3.5,10.54
19.0,9.08,16.38,3.84,11.88
20.0,10.6,17.23,4.43,13.98
21.0,11.62,18.08,5.07,15.52
22.0,13.23,18.93,5.83,17.62
23.0,13.91,20.06,6.71,19.16
24.0,15.35,21.75,7.56,21.46
25.0,17.13,23.73,8.44,23.37
26.0,18.49,25.71,9.37,24.33
27.0,20.78,27.4,10.34,26.82
28.0,20.78,27.4,10.34,26.82
29.0,23.83,33.05,12.45,29.31
30.0,25.61,34.46,13.93,31.03
31.0,27.23,35.88,14.82,33.72
32.0,29.69,37.57,16.0,36.02
33.0,31.04,40.11,17.1,38.12
34.0,33.33,41.24,17.98,40.42
35.0,35.79,43.5,19.16,41.95
36.0,37.32,45.76,20.94,44.44
37.0,39.02,49.15,22.29,46.74
38.0,40.71,53.95,24.02,48.66
39.0,42.83,55.93,25.83,50.77
40.0,45.89,57.91,27.35,54.02
41.0,48.94,60.17,28.87,56.51
42.0,51.31,62.15,30.48,58.24
43.0,53.77,64.69,32.38,60.73
44.0,56.06,67.8,33.77,63.79
45.0,58.69,69.49,35.71,64.75
46.0,60.81,71.47,37.99,67.62
47.0,63.61,74.01,40.14,68.97
48.0,65.65,77.4,42.47,71.07
49.0,67.85,79.1,44.07,72.99
50.0,69.21,79.94,46.56,74.14
51.0,71.33,81.07,48.75,76.05
52.0,73.03,82.49,50.57,77.2
53.0,74.72,84.18,52.89,79.12
54.0,77.18,86.44,54.88,79.89
55.0,77.18,86.44,54.88,79.89
56.0,78.54,87.01,57.2,81.23
57.0,81.68,88.7,62.09,83.72
58.0,82.87,90.11,63.99,85.44
59.0,84.14,90.68,66.15,86.97
60.0,85.41,91.24,67.96,87.36
61.0,87.28,93.22,70.49,88.51
62.0,87.79,93.79,72.44,89.27
63.0,88.97,94.07,74.46,90.8
64.0,90.33,94.63,76.53,92.34
65.0,91.6,95.2,78.43,93.1
66.0,92.03,95.2,80.33,94.25
67.0,92.62,95.76,81.47,94.25
68.0,93.04,95.76,83.12,95.02
69.0,93.89,96.05,84.76,95.4
70.0,94.57,97.18,86.37,95.79
71.0,95.5,97.74,87.38,96.17
72.0,96.27,98.59,89.15,96.74
73.0,96.78,98.59,90.08,97.32
74.0,97.2,98.59,91.22,97.51
75.0,97.71,98.59,92.23,97.7
76.0,97.96,98.59,93.08,98.28
77.0,98.47,98.59,94.09,98.66
78.0,98.81,98.87,95.15,98.85
79.0,98.98,98.87,96.12,99.04
80.0,99.07,99.15,96.75,99.62
81.0,99.24,99.72,97.47,99.81
82.0,99.32,100.0,97.68,99.81
83.0,99.32,100.0,98.1,99.81
84.0,99.49,100.0,98.52,100.0
85.0,99.66,100.0,98.86,100.0
86.0,99.75,100.0,99.2,100.0
87.0,99.75,100.0,99.45,100.0
88.0,99.75,100.0,99.58,100.0
89.0,99.83,100.0,99.62,100.0
90.0,99.92,100.0,99.66,100.0
91.0,99.92,100.0,99.79,100.0
92.0,99.92,100.0,99.87,100.0
93.0,99.92,100.0,99.92,100.0
94.0,99.92,100.0,99.96,100.0
95.0,99.92,100.0,99.96,100.0
96.0,99.92,100.0,100.0,100.0
97.0,99.92,100.0,100.0,100.0
98.0,99.92,100.0,100.0,100.0
99.0,99.92,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0
